"itemid","label","category","numero_eventi"
227969,"Safety Measures","Restraint/Support Systems","9184087"
220045,"Heart Rate","Routine Vital Signs","6798187"
220210,"Respiratory Rate","Respiratory","6728530"
220277,"O2 saturation pulseoxymetry","Respiratory","6656949"
220048,"Heart Rhythm","Routine Vital Signs","6220746"
224650,"Ectopy Type 1","Routine Vital Signs","5553201"
220179,"Non Invasive Blood Pressure systolic","Routine Vital Signs","4279569"
220180,"Non Invasive Blood Pressure diastolic","Routine Vital Signs","4278628"
220181,"Non Invasive Blood Pressure mean","Routine Vital Signs","4276928"
227958,"Less Restrictive Measures","Restraint/Support Systems","3505880"
224080,"Head of Bed","Treatments","2569735"
224082,"Turn","Treatments","2536571"
224086,"Activity Tolerance","Treatments","2437173"
224093,"Position","Treatments","2395796"
220052,"Arterial Blood Pressure mean","Routine Vital Signs","2387853"
220050,"Arterial Blood Pressure systolic","Routine Vital Signs","2379566"
220051,"Arterial Blood Pressure diastolic","Routine Vital Signs","2379199"
223792,"Pain Management","Pain/Sedation","2127823"
228905,"Altered Respiratory Status NCP - Interventions","Care Plans","1986935"
224642,"Temperature Site","Routine Vital Signs","1937625"
229381,"Orientation","Neurological","1892549"
220739,"GCS - Eye Opening","Neurological","1711688"
223900,"GCS - Verbal Response","Neurological","1708459"
223901,"GCS - Motor Response","Neurological","1704243"
224073,"Education Topic","Restraint/Support Systems","1634871"
223781,"Pain Present","Pain/Sedation","1634416"
228868,"Assistance","Treatments","1633605"
226732,"O2 Delivery Device(s)","Respiratory","1620712"
224089,"Anti Embolic Device","Treatments","1605622"
223761,"Temperature Fahrenheit","Routine Vital Signs","1595844"
224641,"Alarms On","Alarms","1576848"
228928,"Impaired Tissue Perfusion NCP - Interventions","Care Plans","1553298"
223987,"RLL Lung Sounds","Pulmonary","1553162"
223989,"LLL Lung Sounds","Pulmonary","1547730"
224168,"Parameters Checked","Alarms","1547399"
223986,"RUL Lung Sounds","Pulmonary","1529587"
223988,"LUL Lung Sounds","Pulmonary","1526857"
227944,"Side Rails","Restraint/Support Systems","1485089"
228988,"Safety Restraints NCP - Interventions","Care Plans","1465740"
223795,"Pain Assessment Method","Pain/Sedation","1439427"
224003,"Abdominal Assessment","GI/GU","1427312"
225054,"Anti Embolic Device Status","Treatments","1409825"
224084,"Activity","Treatments","1361126"
224001,"Diet Type","GI/GU","1354139"
224087,"Therapeutic Bed","Treatments","1316858"
223783,"Pain Location","Pain/Sedation","1316493"
224088,"Pressure Reducing Device","Treatments","1292232"
223907,"Pupil Size Right","Neurological","1261790"
224733,"Pupil Size Left","Neurological","1259700"
223999,"Oral Cavity","GI/GU","1251232"
227121,"Pupil Response Right","Neurological","1249014"
227288,"Pupil Response Left","Neurological","1244228"
228096,"Richmond-RAS Scale","Pain/Sedation","1208923"
224015,"Urine Source","GI/GU","1198822"
229321,"Activity / Mobility (JH-HLM)","Treatments","1196243"
224004,"Bowel Sounds","GI/GU","1136477"
228947,"Infection NCP - Interventions","Care Plans","1135836"
227947,"Reason for Restraint (Non-violent)","Restraint/Support Systems","1129498"
228924,"Impaired Tissue Perfusion NCP - Expected outcomes","Care Plans","1124367"
223934,"Dorsal PedPulse R","Cardiovascular (Pulses)","1081025"
223943,"Dorsal PedPulse L","Cardiovascular (Pulses)","1066211"
224031,"Edema Location","Skin - Incisions","1045929"
226168,"Oral Care","Treatments","1035012"
223991,"Cough Effort","Pulmonary","1021839"
223794,"Pain Level Acceptable","Pain/Sedation","1021279"
224026,"Skin Integrity","Skin - Assessment","1020128"
227954,"Status and Comfort","Restraint/Support Systems","1018423"
224016,"Urine Color","GI/GU","1014276"
224027,"Skin Temperature","Skin - Assessment","1003190"
223791,"Pain Level","Pain/Sedation","993483"
224028,"Skin Color","Skin - Assessment","991534"
224860,"Skin Condition","Skin - Assessment","986212"
227955,"Food and Fluid","Restraint/Support Systems","985792"
228305,"ST Segment Monitoring On","Alarms","984454"
228299,"Goal Richmond-RAS Scale","Pain/Sedation","964491"
224876,"Urine Appearance","GI/GU","954168"
223784,"Pain Cause","Pain/Sedation","946146"
228898,"Impaired Fluid Balance NCP - Interventions","Care Plans","938628"
223835,"Inspired O2 Fraction","Respiratory","900489"
224651,"Ectopy Frequency 1","Routine Vital Signs","886928"
228937,"Post-op Care NCP - Interventions","Care Plans","879044"
227948,"Restraint Device (Non-violent)","Restraint/Support Systems","872703"
227945,"Restraint (Non-violent)","Restraint/Support Systems","864053"
228412,"Strength R Arm","Neurological","863638"
228409,"Strength L Arm","Neurological","862960"
228397,"Commands Response","Neurological","862136"
228411,"Strength R Leg","Neurological","861933"
224054,"Braden Sensory Perception","Skin - Assessment","861342"
228410,"Strength L Leg","Neurological","860849"
224055,"Braden Moisture","Skin - Assessment","860816"
224056,"Braden Activity","Skin - Assessment","860336"
224057,"Braden Mobility","Skin - Assessment","860312"
224058,"Braden Nutrition","Skin - Assessment","859953"
227950,"Restraint Location","Restraint/Support Systems","858403"
224059,"Braden Friction/Shear","Skin - Assessment","857574"
223782,"Pain Type","Pain/Sedation","857537"
220074,"Central Venous Pressure","Hemodynamics","854448"
228977,"Altered Mental Status  NCP - Interventions","Care Plans","835556"
228398,"Commands","Neurological","827381"
224000,"Nares R","GI/GU","825354"
228414,"Speech","Neurological","825088"
228890,"Pain NCP - Interventions","Care Plans","810901"
223992,"Cough Type","Pulmonary","809931"
224879,"Nares L","GI/GU","806648"
225664,"Glucose finger stick (range 70-100)","Labs","802937"
227959,"Restraints Evaluated","Restraint/Support Systems","802242"
