"itemid","label","category","numero_eventi"
225158,"NaCl 0.9%","Fluids/Intake","1326336"
220949,"Dextrose 5%","Fluids/Intake","1087609"
225943,"Solution","Fluids/Intake","593136"
226452,"PO Intake","Fluids/Intake","446252"
222168,"Propofol","Medications","420185"
221906,"Norepinephrine","Medications","353659"
225799,"Gastric Meds","Fluids/Intake","322726"
223258,"Insulin - Regular","Medications","299117"
226453,"GT Flush","Fluids/Intake","237761"
221744,"Fentanyl","Medications","213589"
221749,"Phenylephrine","Medications","203138"
225166,"Potassium Chloride","Medications","184508"
225975,"Heparin Sodium (Prophylaxis)","Medications","159442"
225798,"Vancomycin","Antibiotics","129146"
225942,"Fentanyl (Concentrate)","Medications","117367"
221668,"Midazolam (Versed)","Medications","114194"
225828,"LR","Fluids/Intake","113875"
221833,"Hydromorphone (Dilaudid)","Medications","105662"
221794,"Furosemide (Lasix)","Medications","104747"
227522,"KCL (Bolus)","Medications","103944"
226089,"Piggyback","Fluids/Intake","99134"
223262,"Insulin - Humalog","Medications","88725"
225152,"Heparin Sodium","Medications","81016"
222056,"Nitroglycerin","Medications","79847"
225154,"Morphine Sulfate","Medications","78565"
225797,"Free Water","Fluids/Intake","76791"
222011,"Magnesium Sulfate","Medications","76202"
225944,"Sterile Water","Fluids/Intake","75319"
228315,"Acetaminophen-IV","Medications","68448"
225851,"Cefepime","Antibiotics","65247"
221456,"Calcium Gluconate","Medications","65073"
225893,"Piperacillin/Tazobactam (Zosyn)","Antibiotics","63586"
225974,"Metoprolol","Medications","61918"
229420,"Dexmedetomidine (Precedex)","Medications","61628"
225910,"Pantoprazole (Protonix)","Medications","61169"
225884,"Metronidazole","Antibiotics","59880"
225907,"Famotidine (Pepcid)","Medications","59002"
225168,"Packed Red Blood Cells","Blood Products/Colloids","56040"
227523,"Magnesium Sulfate (Bolus)","Medications","54446"
227536,"KCl (CRRT)","Medications","54054"
225150,"Dexmedetomidine (Precedex)","Medications","48574"
225850,"Cefazolin","Antibiotics","40826"
225883,"Meropenem","Antibiotics","40712"
221385,"Lorazepam (Ativan)","Medications","39621"
222042,"Nicardipine","Medications","39358"
227525,"Calcium Gluconate (CRRT)","Medications","35925"
229630,"Phenylephrine (50/250)","Medications","35766"
227526,"Citrate","Medications","33228"
227529,"ACD-A Citrate (1000ml)","Medications","32425"
221828,"Hydralazine","Medications","31896"
223260,"Insulin - Glargine","Medications","31701"
225823,"D5 1/2NS","Fluids/Intake","29091"
220864,"Albumin 5%","Blood Products/Colloids","27480"
222315,"Vasopressin","Medications","27197"
221289,"Epinephrine","Medications","25699"
220862,"Albumin 25%","Blood Products/Colloids","24220"
225153,"Labetalol","Medications","24036"
226364,"OR Crystalloid Intake","Fluids/Intake","21442"
225936,"Replete with Fiber (Full)","Nutrition - Enteral","20766"
228340,"Furosemide (Lasix) 250/50","Medications","19752"
225855,"Ceftriaxone","Antibiotics","18570"
225859,"Ciprofloxacin","Antibiotics","18184"
228351,"Nepro (Full)","Nutrition - Enteral","18028"
221662,"Dopamine","Medications","17756"
220970,"Fresh Frozen Plasma","Blood Products/Colloids","17463"
228316,"Levetiracetam (Keppra)","Medications","16776"
221468,"Diltiazem","Medications","16608"
226361,"Pre-Admission/Non-ICU Intake","Fluids/Intake","16135"
221555,"Cisatracurium","Medications","15878"
221824,"Haloperidol (Haldol)","Medications","14178"
220952,"Dextrose 50%","Fluids/Intake","14178"
229011,"Jevity 1.5 (Full)","Nutrition - Enteral","13777"
221429,"Esmolol","Medications","13645"
229014,"Promote with Fiber (Full)","Nutrition - Enteral","12549"
225888,"Nafcillin","Antibiotics","12059"
229010,"Jevity 1.2 (Full)","Nutrition - Enteral","11536"
225170,"Platelets","Blood Products/Colloids","11491"
229297,"Osmolite 1.5 (Full)","Nutrition - Enteral","11465"
225833,"Thiamine","Medications","11448"
225892,"Piperacillin","Antibiotics","11427"
229013,"Glucerna 1.2 (Full)","Nutrition - Enteral","11051"
225159,"NaCl 0.45%","Fluids/Intake","11042"
229296,"Vital High Protein (Full)","Nutrition - Enteral","11006"
229009,"Promote (Full)","Nutrition - Enteral","10912"
229624,"Nicardipine 40mg/200","Medications","10902"
229295,"Glucerna 1.5 (Full)","Nutrition - Enteral","10823"
225842,"Ampicillin","Antibiotics","10448"
225837,"Acyclovir","Antibiotics","10278"
225853,"Ceftazidime","Antibiotics","10224"
221986,"Milrinone","Medications","10010"
221347,"Amiodarone","Medications","9439"
220995,"Sodium Bicarbonate 8.4%","Medications","9268"
225834,"K Phos","Medications","9248"
225161,"NaCl 3% (Hypertonic Saline)","Fluids/Intake","9171"
221653,"Dobutamine","Medications","8890"
225970,"Beneprotein","Nutrition - Enteral","8664"
225843,"Ampicillin/Sulbactam (Unasyn)","Antibiotics","8458"
228339,"Amiodarone 600/500","Medications","8033"
222051,"Nitroprusside","Medications","7782"
223259,"Insulin - NPH","Medications","7390"
229632,"Phenylephrine (200/250)","Medications","7347"
227689,"Dilantin","Medications","7325"
225881,"Linezolid","Antibiotics","7213"
225916,"TPN w/ Lipids","Nutrition - Parenteral","7205"
226372,"OR Cell Saver Intake","Blood Products/Colloids","7104"
225155,"Octreotide","Medications","6579"
225911,"Ranitidine (Prophylaxis)","Medications","6579"
225835,"Na Phos","Medications","6447"
225860,"Clindamycin","Antibiotics","6274"
225825,"D5NS","Fluids/Intake","6173"
227695,"Fibersource HN (Full)","Nutrition - Enteral","6161"
228135,"Isosource 1.5 (Full)","Nutrition - Enteral","6158"
226880,"Nutren Pulmonary (Full)","Nutrition - Enteral","6021"
225879,"Levofloxacin","Antibiotics","5878"
227533,"Sodium Bicarbonate 8.4% (Amp)","Fluids/Intake","5665"
226368,"OR Packed RBC Intake","Blood Products/Colloids","5291"
228367,"Two Cal HN (Full)","Nutrition - Enteral","5264"
229072,"Ketorolac (Toradol)","Medications","5214"
225845,"Azithromycin","Antibiotics","4976"
225885,"Micafungin","Antibiotics","4970"
225869,"Fluconazole","Antibiotics","4958"
229234,"Clevidipine (Cleviprex)","Medications","4910"
220950,"Dextrose 10%","Fluids/Intake","4871"
225899,"Bactrim (SMX/TMP)","Antibiotics","4728"
225917,"TPN without Lipids","Nutrition - Parenteral","4723"
221623,"Diazepam (Valium)","Medications","4445"
227975,"NovaSource Renal (Full)","Nutrition - Enteral","4417"
227690,"Fosphenytoin","Medications","4296"
225948,"Amino Acids","Nutrition - Parenteral","4057"
225931,"Nutren 2.0 (Full)","Nutrition - Enteral","3977"
229012,"Vital 1.5 (Full)","Nutrition - Enteral","3940"
225906,"Enoxaparin (Lovenox)","Medications","3750"
225171,"Cryoprecipitate","Blood Products/Colloids","3740"
225909,"Lansoprazole (Prevacid)","Medications","3702"
227694,"Omeprazole (Prilosec)","Medications","3628"
225947,"Dextrose PN","Nutrition - Parenteral","3611"
225832,"Folic Acid","Medications","3576"
221712,"Ketamine","Medications","3470"
225827,"D5LR","Fluids/Intake","3350"
229616,"Ondansetron (Zofran)","Medications","3284"
229654,"Amiodarone 450/250","Medications","3246"
225935,"Replete (Full)","Nutrition - Enteral","3217"
227979,"Boost Glucose Control (Full)","Nutrition - Enteral","3130"
225847,"Aztreonam","Antibiotics","3087"
229070,"Glycopyrolate (Robinul)","Medications","2961"
225147,"Argatroban","Medications","2847"
228383,"Peptamen Bariatric (Full)","Nutrition - Enteral","2787"
225913,"Coumadin (Warfarin)","Medications","2782"
229233,"Rocuronium","Medications","2644"
226367,"OR FFP Intake","Blood Products/Colloids","2591"
226363,"Cath Lab Intake","Fluids/Intake","2578"
225863,"Daptomycin","Antibiotics","2487"
225875,"Gentamicin","Antibiotics","2476"
