"itemid","label","numero_misurazioni"
51221,"Hematocrit","3453735"
50912,"Creatinine","3378967"
51265,"Platelet Count","3333297"
51222,"Hemoglobin","3301290"
51301,"White Blood Cells","3283948"
51006,"Urea Nitrogen","3283383"
51249,"MCHC","3278783"
51279,"Red Blood Cells","3278658"
51250,"MCV","3278657"
51248,"MCH","3278656"
51277,"RDW","3278433"
50971,"Potassium","3270701"
50983,"Sodium","3239236"
50902,"Chloride","3202975"
50882,"Bicarbonate","3085714"
50868,"Anion Gap","3077930"
50931,"Glucose","2829673"
50893,"Calcium, Total","2247740"
50960,"Magnesium","2206137"
50970,"Phosphate","2117240"
50934,"H","1457702"
51678,"L","1457685"
50947,"I","1457680"
51237,"INR(PT)","1447066"
51274,"PT","1446375"
50920,"Estimated GFR (MDRD equation)","1418862"
50861,"Alanine Aminotransferase (ALT)","1379280"
52172,"RDW-SD","1361263"
50878,"Asparate Aminotransferase (AST)","1350499"
51275,"PTT","1303590"
50885,"Bilirubin, Total","1302845"
51256,"Neutrophils","1294510"
51244,"Lymphocytes","1294510"
51254,"Monocytes","1294509"
51200,"Eosinophils","1294505"
51146,"Basophils","1294505"
50863,"Alkaline Phosphatase","1197696"
50862,"Albumin","763795"
51506,"Urine Appearance","707831"
51498,"Specific Gravity","707831"
51491,"pH","707831"
51486,"Leukocytes","707831"
51466,"Blood","707827"
51492,"Protein","707826"
51478,"Glucose","707826"
51464,"Bilirubin","707825"
51484,"Ketone","707825"
51514,"Urobilinogen","707824"
51487,"Nitrite","707824"
51087,"Length of Urine Collection","662041"
52033,"Specimen Type","655495"
50820,"pH","617021"
50821,"pO2","561664"
50802,"Base Excess","561663"
50804,"Calculated Total CO2","561660"
50818,"pCO2","561473"
52075,"Absolute Neutrophil Count","539821"
50813,"Lactate","525293"
52073,"Absolute Eosinophil Count","517630"
52074,"Absolute Monocyte Count","517587"
52069,"Absolute Basophil Count","517586"
51133,"Absolute Lymphocyte Count","517586"
51516,"WBC","497735"
51493,"RBC","497735"
51463,"Bacteria","497734"
51476,"Epithelial Cells","497732"
51519,"Yeast","497732"
50954,"Lactate Dehydrogenase (LD)","480671"
52135,"Immature Granulocytes","409799"
51003,"Troponin T","370876"
50993,"Thyroid Stimulating Hormone","328894"
51512,"Urine Mucous","327992"
50933,"Green Top Hold (plasma)","314063"
50808,"Free Calcium","294868"
50910,"Creatine Kinase (CK)","292628"
50887,"Blue Top Hold","285158"
51266,"Platelet Smear","276383"
51000,"Triglycerides","263751"
51137,"Anisocytosis","260472"
50907,"Cholesterol, Total","260451"
51267,"Poikilocytosis","259997"
51246,"Macrocytes","257176"
50822,"Potassium, Whole Blood","255987"
51268,"Polychromasia","255890"
50904,"Cholesterol, HDL","254290"
51252,"Microcytes","254133"
51233,"Hypochromia","253474"
50903,"Cholesterol Ratio (Total/HDL)","253359"
51144,"Bands","242318"
50956,"Lipase","236864"
50955,"Light Green Top Hold","236301"
50911,"Creatine Kinase, MB Isoenzyme","236114"
50905,"Cholesterol, LDL, Calculated","231378"
50852,"% Hemoglobin A1c","231052"
51251,"Metamyelocytes","225553"
51255,"Myelocytes","224121"
51143,"Atypical Lymphocytes","223293"
50809,"Glucose","220300"
51613,"eAG","199467"
50883,"Bilirubin, Direct","197845"
50884,"Bilirubin, Indirect","193120"
51082,"Creatinine, Urine","191932"
50817,"Oxygen Saturation","182731"
50979,"Red Top Hold","178416"
50812,"Intubated","163107"
50976,"Protein, Total","162472"
51103,"Uhold","157307"
50924,"Ferritin","140530"
51007,"Uric Acid","135511"
51107,"Urine tube, held","134936"
51508,"Urine Color","132289"
50930,"Globulin","128589"
51260,"Ovalocytes","125738"
50952,"Iron","120584"
50889,"C-Reactive Protein","120016"
50810,"Hematocrit, Calculated","116473"
50811,"Hemoglobin","116466"
50824,"Sodium, Whole Blood","116340"
51214,"Fibrinogen, Functional","115280"
51482,"Hyaline Casts","108783"
50998,"Transferrin","108027"
50953,"Iron Binding Capacity, Total","108005"
50825,"Temperature","107693"
51010,"Vitamin B12","106649"
50995,"Thyroxine (T4), Free","105748"
51009,"Vancomycin","103199"
51218,"Granulocyte Count","99590"
50986,"tacroFK","98225"
50922,"Ethanol","92298"
51102,"Total Protein, Urine","92166"
50816,"Oxygen","91758"
50856,"Acetaminophen","89824"
50806,"Chloride, Whole Blood","88222"
50981,"Salicylate","88086"
50999,"Tricyclic Antidepressant Screen","87085"
50867,"Amylase","85894"
51085,"HCG, Urine, Qualitative","84708"
50919,"EDTA Hold","84335"
51092,"Opiate Screen, Urine","83463"
51079,"Cocaine, Urine","83325"
51257,"Nucleated Red Cells","83255"
51075,"Benzodiazepine Screen, Urine","82719"
51071,"Amphetamine Screen, Urine","82566"
51090,"Methadone, Urine","82397"
51074,"Barbiturate Screen, Urine","81922"
50853,"25-OH Vitamin D","79944"
51099,"Protein/Creatinine Ratio","79289"
51296,"Teardrop Cells","78221"
50880,"Benzodiazepine Screen","73600"
50879,"Barbiturate Screen","73500"
51100,"Sodium, Urine","68894"
50963,"NTproBNP","67459"
51287,"Schistocytes","67369"
51501,"Transitional Epithelial Cells","65440"
50941,"Hepatitis B Surface Antigen","64240"
51288,"Sedimentation Rate","63701"
50943,"Hepatitis C Virus Antibody","63335"
50944,"HIV Antibody","60620"
50974,"Prostate Specific Antigen","60504"
50819,"PEEP","59937"
50828,"Ventilator","59468"
51069,"Albumin, Urine","58832"
50827,"Ventilation Rate","56733"
51070,"Albumin/Creatinine, Urine","56688"
50940,"Hepatitis B Surface Antibody","55042"
50925,"Folate","54980"
51283,"Reticulocyte Count, Automated","53793"
51093,"Osmolality, Urine","51538"
50826,"Tidal Volume","51004"
50965,"Parathyroid Hormone","50993"
50950,"Immunoglobulin G","46941"
50935,"Haptoglobin","44333"
50975,"Protein Electrophoresis","43831"
50949,"Immunoglobulin A","43584"
51097,"Potassium, Urine","42077"
50964,"Osmolality, Measured","41890"
52111,"Echinocytes","41722"
50906,"Cholesterol, LDL, Measured","41016"
51078,"Chloride, Urine","40616"
50900,"Carcinoembyronic Antigen (CEA)","40543"
50942,"Hepatitis B Virus Core Antibody","39796"
50951,"Immunoglobulin M","37471"
50946,"Human Chorionic Gonadotropin","36612"
51104,"Urea Nitrogen, Urine","35005"
51462,"Amorphous Crystals","34369"
51989,"Oxycodone","33476"
50864,"Alpha-Fetoprotein","30961"
51176,"CD3 Cells, Percent","28446"
51733,"STX2","28422"
51180,"CD4 Cells, Percent","27904"
51194,"CD8 Cells, Percent","27894"
51734,"STX3","27326"
50873,"Anti-Nuclear Antibody","27321"
52007,"UTX4","27252"
51131,"Absolute CD4 Count","27149"
52769,"Absolute Lymphocyte Count","27148"
51245,"Lymphocytes, Percent","27148"
51130,"Absolute CD3 Count","27148"
51132,"Absolute CD8 Count","27148"
51300,"WBC Count","27148"
