"itemid","label","category","numero_eventi"
224275,"20 Gauge","Access Lines - Peripheral","90805"
225459,"Chest X-Ray","5-Imaging","72740"
224277,"18 Gauge","Access Lines - Peripheral","59679"
225402,"EKG","4-Procedures","38642"
225752,"Arterial Line","Access Lines - Invasive","34561"
225792,"Invasive Ventilation","2-Ventilation","32362"
225401,"Blood Cultured","6-Cultures","23706"
227194,"Extubation","1-Intubation/Extubation","23499"
224274,"22 Gauge","Access Lines - Peripheral","22926"
224263,"Multi Lumen","Access Lines - Invasive","22912"
221214,"CT scan","5-Imaging","22825"
229351,"Foley Catheter","GI/GU","17278"
228129,"Family updated by RN","7-Communication","17050"
225469,"OR Received","3-Significant Events","15580"
224276,"16 Gauge","Access Lines - Peripheral","14669"
229581,"Portable Chest X-Ray","5-Imaging","13426"
224264,"PICC Line","Access Lines - Invasive","12997"
225454,"Urine Culture","6-Cultures","12756"
225432,"Transthoracic Echo","5-Imaging","12416"
221217,"Ultrasound","5-Imaging","11591"
225966,"Nasal Swab","6-Cultures","11391"
228128,"Family updated by MD","7-Communication","9667"
224385,"Intubation","1-Intubation/Extubation","8942"
225451,"Sputum Culture","6-Cultures","6992"
225470,"OR Sent","3-Significant Events","6919"
221216,"X-ray","5-Imaging","6427"
225400,"Bronchoscopy","4-Procedures","6384"
223253,"Magnetic Resonance Imaging","5-Imaging","6380"
224267,"Cordis/Introducer","Access Lines - Invasive","5800"
224560,"PA Catheter","Access Lines - Invasive","5246"
224270,"Dialysis Catheter","Access Lines - Invasive","4699"
225441,"Hemodialysis","4-Procedures","4630"
227712,"Chest Tube Removed","4-Procedures","4582"
225802,"Dialysis - CRRT","Dialysis","4475"
225794,"Non-invasive Ventilation","2-Ventilation","3174"
225814,"Stool Culture","6-Cultures","2822"
221223,"EEG","4-Procedures","2790"
225444,"Pan Culture","6-Cultures","2622"
228125,"Family meeting held","7-Communication","2601"
225439,"Endoscopy","4-Procedures","2397"
225457,"Abdominal X-Ray","5-Imaging","2199"
225462,"Interventional Radiology","5-Imaging","2160"
224269,"CCO PAC","Access Lines - Invasive","1911"
225789,"Sheath (Venous)","Access Lines - Invasive","1798"
229580,"Line Placement at Bedside","4-Procedures","1755"
225202,"Indwelling Port (PortaCath)","Access Lines - Invasive","1606"
221255,"Trans Esophageal Echo","5-Imaging","1542"
225204,"Midline","Access Lines - Invasive","1460"
225464,"Cardioversion/Defibrillation","3-Significant Events","1446"
226236,"Temporary Pacemaker Wires Discontinued","4-Procedures","1262"
228127,"Family met with Social Worker","7-Communication","1193"
229526,"MAC","Access Lines - Invasive","1181"
225817,"BAL Fluid Culture","6-Cultures","1144"
229516,"Single Lumen","Access Lines - Invasive","1011"
225433,"Chest Tube Placed","4-Procedures","1005"
224272,"IABP line","Access Lines - Invasive","962"
228130,"NEOB notified","7-Communication","873"
225430,"Cardiac Cath","4-Procedures","869"
225399,"Lumbar Puncture","4-Procedures","846"
229532,"Indwelling Port","Access Lines - Invasive","840"
225427,"Angiography","5-Imaging","835"
224566,"14 Gauge","Access Lines - Peripheral","834"
227719,"AVA","Access Lines - Invasive","830"
225445,"Paracentesis","4-Procedures","819"
229614,"EEG (Continuous)","4-Procedures","813"
225468,"Unplanned Extubation (patient-initiated)","1-Intubation/Extubation","760"
225440,"Fluoroscopy","3-Significant Events","754"
226124,"ICP Catheter","Access Lines - Invasive","717"
225805,"Peritoneal Dialysis","Dialysis","713"
224268,"Trauma line","Access Lines - Invasive","695"
225479,"Thoracentesis","4-Procedures","649"
225448,"Percutaneous Tracheostomy","1-Intubation/Extubation","618"
225466,"Cardiac Arrest","3-Significant Events","599"
229298,"Speech and Swallow Evaluation","4-Procedures","527"
228286,"Intraosseous Device","Access Lines - Invasive","526"
227550,"ERCP (Travel to)","4-Procedures","509"
225446,"PEG Insertion","4-Procedures","500"
225443,"Nuclear Medicine","3-Significant Events","481"
229380,"Nursing Water Swallow Screening","4-Procedures","456"
225816,"Wound Culture","6-Cultures","449"
228715,"Transcranial Doppler","5-Imaging","435"
225434,"Colonoscopy","4-Procedures","391"
225315,"Tunneled (Hickman) Line","Access Lines - Invasive","387"
229582,"Portable CT scan","5-Imaging","384"
225465,"Chest Pain","3-Significant Events","347"
229578,"Cath Lab (Sent)","4-Procedures","346"
225447,"Percutaneous Drain Insertion","4-Procedures","328"
225437,"CSF Culture","6-Cultures","318"
229575,"Travel to Radiology","5-Imaging","308"
227551,"Plasma Pheresis.","4-Procedures","297"
227711,"Drain Removed","4-Procedures","268"
229577,"Cath Lab (Received)","4-Procedures","267"
229366,"Epoprostenol (Inhaled)","Medications","264"
225436,"CRRT Filter Change","Dialysis","251"
228136,"Family notified of transfer","7-Communication","227"
225821,"Unplanned Line/Catheter Removal (Patient Initiated)","3-Significant Events","220"
229519,"EVD #1","Access Lines - Invasive","213"
225820,"C-Spine Clearance","3-Significant Events","203"
225205,"RIC","Access Lines - Peripheral","201"
226476,"Esophogeal Balloon","4-Procedures","186"
229579,"Transfer Intercampus by Ambulance","3-Significant Events","175"
226475,"Intraventricular Drain Inserted","4-Procedures","172"
225450,"Radiation Therapy","4-Procedures","170"
225203,"Pheresis Catheter","Access Lines - Invasive","169"
229755,"Trigger Initiated","3-Significant Events","151"
228169,"Impella Line","Access Lines - Invasive","146"
229525,"Sheath (Arterial)","Access Lines - Invasive","136"
227713,"Epidural Placement","4-Procedures","132"
224273,"Presep Catheter","Access Lines - Invasive","125"
229501,"Small Bore Nasal Enteral Tube Placement","4-Procedures","124"
227715,"TLS Clearance","3-Significant Events","123"
226477,"Temporary Pacemaker Wires Inserted","4-Procedures","123"
229531,"Tunneled Access Line","Access Lines - Invasive","119"
229468,"24 Gauge","Access Lines - Peripheral","118"
225406,"Transferred to Floor","3-Significant Events","113"
228126,"Family met with Case Manager","7-Communication","105"
