"itemid","label","category","numero_eventi"
226559,"Foley","Output","3137879"
226560,"Void","Output","280250"
226588,"Chest Tube #1","Output","274307"
226606,"Cerebral Ventricular #1","Drains","103020"
227510,"TF Residual","Output","91173"
226599,"Jackson Pratt #1","Drains","63052"
226561,"Condom Cath","Output","41896"
226589,"Chest Tube #2","Output","40864"
226575,"Nasogastric","Output","31887"
226576,"Oral Gastric","Output","26407"
226600,"Jackson Pratt #2","Drains","23020"
226613,"Wound Vac #1","Drains","19016"
226627,"OR Urine","Output","18583"
226582,"Ostomy (output)","Output","16577"
226579,"Stool","Output","16166"
226597,"JP Medial","Drains","15075"
226592,"Mediastinal","Output","14826"
226580,"Fecal Bag","Output","14673"
226633,"Pre-Admission","Output","13912"
227701,"Drainage Bag","Drains","13268"
226598,"JP Lateral","Drains","12932"
226610,"Lumbar","Drains","12272"
226590,"L Pleural #1","Output","11834"
226567,"Straight Cath","Output","11757"
226563,"Suprapubic","Output","11652"
226626,"OR EBL","Output","10538"
226593,"R Pleural #1","Output","10225"
226573,"Gastric Tube","Output","9392"
226571,"Emesis","Output","9187"
227511,"TF Residual Output","Output","9030"
226601,"Jackson Pratt #3","Drains","8255"
226584,"Ileoconduit","Output","7283"
226619,"Pigtail #1","Drains","6852"
226583,"Rectal Tube","Output","6331"
227488,"GU Irrigant Volume In","Output","6095"
227489,"GU Irrigant/Urine Volume Out","Output","6085"
226607,"Cerebral Ventricular #2","Drains","5562"
226604,"Hemovac #1","Drains","4805"
226564,"R Nephrostomy","Output","4563"
226608,"Cerebral Subdural #1","Drains","4501"
226565,"L Nephrostomy","Output","4111"
226612,"Pericardial","Drains","3777"
226603,"T Tube","Drains","3486"
226602,"Jackson Pratt #4","Drains","2557"
226631,"PACU Urine","Output","2227"
226620,"Pigtail #2","Drains","2121"
229413,"Chest Tube #3","Output","1777"
226632,"Cath Lab","Output","1270"
226625,"Tap","Drains","1197"
226591,"L Pleural #2","Output","1161"
226617,"Sump #1","Drains","1067"
226595,"R Pleural #2","Output","1061"
226614,"Wound Vac #2","Drains","1005"
226574,"Jejunostomy","Output","784"
226628,"PACU Drains","Output","739"
226605,"Hemovac #2","Drains","677"
226609,"Cerebral Subdural #2","Drains","475"
229414,"Chest Tube #4","Output","432"
226557,"R Ureteral Stent","Output","425"
226629,"PACU EBL","Output","403"
226622,"Red Rubber","Drains","371"
226623,"Penrose #1","Drains","295"
226618,"Sump #2","Drains","258"
226630,"PACU Gastric","Output","213"
226558,"L Ureteral Stent","Output","169"
226570,"Blakemore","Output","123"
226624,"Penrose #2","Drains","84"
226621,"Davol","Drains","55"
226616,"Anderson","Drains","23"
226569,"Anderson (gastric)","Output","19"
226572,"Ewald","Output","17"
